,index,parameter,odds_ratio,parameter_value,ci_low,ci_high,pvalue,coeffs
0,0,experiment_type,1.0,positive control,1.0,1.0,0.0,0.0
2,0,experiment_type,1.3186473675417996,negative_control,1.1648392017918598,1.4927647328919669,1.2353126110059326e-05,0.2766064896529527
3,1,experiment_type,1.4502683888419738,null,1.281150450233739,1.6417106978267564,4.1932345304892944e-09,0.37174863505746314
4,2,experiment_type,1.021636372413249,treatment,0.9023760990494454,1.156658380621084,0.7353723823831563,0.021405628482642894
1,1,group_size,1.0,50,1.0,1.0,0.0,0.0
5,3,group_size,0.0983980698430856,5.0,0.08446732574621311,0.11462633702806473,9.456153015789541e-195,-2.3187340905321108
6,4,group_size,0.1910543103435833,10.0,0.16413687552969097,0.22238603837843487,2.95001568151549e-101,-1.655197544005949
7,5,group_size,0.5758113017864399,30.0,0.4949680218973495,0.6698587395485438,8.615044853545482e-13,-0.5519752730244059
8,6,group_size,1.5507753888135913,75.0,1.3332862092064757,1.8037419797368626,1.2636305252576352e-08,0.4387550566948921
9,7,group_size,2.0979128186066203,100.0,1.803739744710451,2.440062768135373,7.100350493449948e-22,0.7409429545857257
