,space_occupied,collision_counts,collision_rate,calling_effort,iteration_label,BAT_SPEED
0,79,5,0.0671666666666667,1,iteration_number_0,1
1,74,5,0.0594333333333333,1,iteration_number_1,1
2,84,5,0.0586333333333333,1,iteration_number_2,1
3,59,4,0.0428666666666667,1,iteration_number_3,1
4,67,4,0.0582,1,iteration_number_4,1
5,42,3,0.0251,1,iteration_number_5,1
6,82,5,0.0585,1,iteration_number_6,1
7,85,5,0.0588333333333333,1,iteration_number_7,1
8,85,5,0.0589,1,iteration_number_8,1
9,81,5,0.0592333333333333,1,iteration_number_9,1
10,80,6,0.0638,1,iteration_number_10,1
11,79,5,0.0555,1,iteration_number_11,1
12,27,4,0.0334666666666667,1,iteration_number_12,1
13,82,5,0.0622333333333333,1,iteration_number_13,1
14,82,5,0.0610333333333333,1,iteration_number_14,1
15,67,5,0.0666333333333333,1,iteration_number_15,1
16,61,3,0.0251,1,iteration_number_16,1
17,84,5,0.0588333333333333,1,iteration_number_17,1
18,67,5,0.0719,1,iteration_number_18,1
19,63,4,0.0743333333333333,1,iteration_number_19,1
20,173,14,0.0591,1,iteration_number_0,3
21,190,16,0.0625333333333333,1,iteration_number_1,3
22,162,12,0.0638666666666667,1,iteration_number_2,3
23,154,13,0.0578333333333333,1,iteration_number_3,3
24,165,15,0.0589,1,iteration_number_4,3
25,100,13,0.0661,1,iteration_number_5,3
26,203,14,0.0607333333333333,1,iteration_number_6,3
27,172,15,0.0657,1,iteration_number_7,3
28,110,13,0.0600333333333333,1,iteration_number_8,3
29,201,14,0.0589333333333333,1,iteration_number_9,3
30,180,14,0.0562,1,iteration_number_10,3
31,182,13,0.0641,1,iteration_number_11,3
32,187,12,0.059,1,iteration_number_12,3
33,195,14,0.0577,1,iteration_number_13,3
34,110,9,0.0822333333333333,1,iteration_number_14,3
35,118,12,0.0574666666666667,1,iteration_number_15,3
36,191,16,0.0632666666666667,1,iteration_number_16,3
37,109,10,0.0694,1,iteration_number_17,3
38,178,13,0.058,1,iteration_number_18,3
39,157,15,0.0628333333333333,1,iteration_number_19,3
40,223,18,0.065,1,iteration_number_0,5
41,261,23,0.0604333333333333,1,iteration_number_1,5
42,246,19,0.0573666666666667,1,iteration_number_2,5
43,232,24,0.0589333333333333,1,iteration_number_3,5
44,256,23,0.0604,1,iteration_number_4,5
45,259,19,0.0567666666666667,1,iteration_number_5,5
46,274,25,0.0611,1,iteration_number_6,5
47,210,17,0.0662333333333333,1,iteration_number_7,5
48,229,22,0.0577333333333333,1,iteration_number_8,5
49,210,26,0.0612666666666667,1,iteration_number_9,5
50,258,25,0.0636333333333333,1,iteration_number_10,5
51,182,26,0.0614666666666667,1,iteration_number_11,5
52,258,22,0.0628,1,iteration_number_12,5
53,242,24,0.0596666666666667,1,iteration_number_13,5
54,289,19,0.0601666666666667,1,iteration_number_14,5
55,119,24,0.06,1,iteration_number_15,5
56,252,24,0.0592,1,iteration_number_16,5
57,269,25,0.0589666666666667,1,iteration_number_17,5
58,245,23,0.0605,1,iteration_number_18,5
59,258,26,0.0615333333333333,1,iteration_number_19,5
