,space_occupied,collision_counts,collision_rate,calling_effort,iteration_label,BAT_SPEED
0,173,14,0.0591,1,iteration_number_0,3
1,190,16,0.0625333333333333,1,iteration_number_1,3
2,162,12,0.0638666666666667,1,iteration_number_2,3
3,154,13,0.0578333333333333,1,iteration_number_3,3
4,165,15,0.0589,1,iteration_number_4,3
5,100,13,0.0661,1,iteration_number_5,3
6,203,14,0.0607333333333333,1,iteration_number_6,3
7,172,15,0.0657,1,iteration_number_7,3
8,110,13,0.0600333333333333,1,iteration_number_8,3
9,201,14,0.0589333333333333,1,iteration_number_9,3
10,180,14,0.0562,1,iteration_number_10,3
11,182,13,0.0641,1,iteration_number_11,3
12,187,12,0.059,1,iteration_number_12,3
13,195,14,0.0577,1,iteration_number_13,3
14,110,9,0.0822333333333333,1,iteration_number_14,3
15,118,12,0.0574666666666667,1,iteration_number_15,3
16,191,16,0.0632666666666667,1,iteration_number_16,3
17,109,10,0.0694,1,iteration_number_17,3
18,178,13,0.058,1,iteration_number_18,3
19,157,15,0.0628333333333333,1,iteration_number_19,3
