,space_occupied,collision_counts,collision_rate,calling_effort,iteration_label,BAT_SPEED,,,,,,,,,,,,,,,,,,,,,,,,TIME_DELAY_FOR_DIRECTION_CHANGE,NOISE_IN_CALL_RATE,CALL_DIRECTIONALITY,HEARING_DIRECTIONALITY,BAT_ROTATION_SPEED,BAT_FRONTAL_RANGE,IMPLEMENT_SNR,HEARING_ANGLE_THRESHOLD,MINIMUM_SOUND_DETECTION_FRACTION,INCLUDE_DIRECT_SOUNDS_IN_RESPONSE,SPL_THRESHOLD_FOR_ATTRACTION,SPL_THRESHOLD_FOR_REPULSION,SPATIAL_REFERENCE_FRAME,BAT_RADIAL_RESOLUTION,BAT_ANGULAR_RESOLUTION,MEMORY_WINDOW_FOR_CONSISTENCY,CONVERT_GRIDS+TO_ONE_HOT_?,NUMBER_OF_CONSISTENT_IPIS_FOR_MOVEMENT,TIME_DELAY_THRESHOLD_FOR_REPULSION,BEHAVIOUR_RULE,CONTROLLER_TYPE,STORE_HEARING,JAMMER_RESOLUTION,TEMPORAL_MASKING_FN_TYPE,OUTPUT_DIR_FOR_SIMULATION,PARAM_LABEL
0,223,18,0.065,1,iteration_number_0,5,,,,,,,,,,,,,,,,,,,,,,,,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
1,261,23,0.0604333333333333,1,iteration_number_1,5,,,,,,,,,,,,,,,,,,,,,,,,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
2,246,19,0.0573666666666667,1,iteration_number_2,5,,,,,,,,,,,,,,,,,,,,,,,,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
3,232,24,0.0589333333333333,1,iteration_number_3,5,,,,,,,,,,,,,,,,,,,,,,,,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
4,256,23,0.0604,1,iteration_number_4,5,,,,,,,,,,,,,,,,,,,,,,,,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
5,259,19,0.0567666666666667,1,iteration_number_5,5,,,,,,,,,,,,,,,,,,,,,,,,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
6,274,25,0.0611,1,iteration_number_6,5,,,,,,,,,,,,,,,,,,,,,,,,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
7,210,17,0.0662333333333333,1,iteration_number_7,5,,,,,,,,,,,,,,,,,,,,,,,,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
8,229,22,0.0577333333333333,1,iteration_number_8,5,,,,,,,,,,,,,,,,,,,,,,,,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
9,210,26,0.0612666666666667,1,iteration_number_9,5,,,,,,,,,,,,,,,,,,,,,,,,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
