,index,parameter,odds_ratio,parameter_value,ci_low,ci_high,pvalue,coeffs
24,14,BAT_FRONTAL_RANGE,0.9460226875976517,90.0,0.9445124795711701,0.9475353103389547,0.0,-0.05548872755647268
23,13,BAT_FRONTAL_RANGE,1.0771169788124084,30.0,1.0754006281278836,1.0788360688106318,0.0,0.07428800770072934
9,9,BAT_FRONTAL_RANGE,1.0,60,1.0,1.0,0.0,0.0
20,10,BAT_RADIAL_RESOLUTION,0.9725405956967088,4.0,0.9712739695541192,0.9738088736304875,0.0,-0.027843460713776108
7,7,BAT_RADIAL_RESOLUTION,1.0,2.0,1.0,1.0,0.0,0.0
11,1,BAT_SPEED,2.301018621509009,5.0,2.2975623262892837,2.304480116142265,0.0,0.8333519038101431
10,0,BAT_SPEED,0.24543734156513206,1.0,0.24502525750297935,0.2458501186712428,0.0,-1.4047135921643328
0,0,BAT_SPEED,1.0,3,1.0,1.0,0.0,0.0
16,6,CALL_DIRECTIONALITY,1.026652633934269,10.0,1.0253155349423941,1.0279914766173812,0.0,0.02630363997812008
4,4,CALL_DIRECTIONALITY,1.0,7,1.0,1.0,0.0,0.0
1,1,CALL_DURATION,1.0,2,1.0,1.0,0.0,0.0
12,2,CALL_DURATION,1.100281130125442,5.0,1.0988479136996352,1.101716215881206,0.0,0.09556571999246066
2,2,CALL_RATE_FAST,1.0,10,1.0,1.0,0.0,0.0
13,3,CALL_RATE_FAST,0.9765409641893512,20.0,0.975269133016938,0.9778144539342307,3.809085856649273e-279,-0.023738579530584097
14,4,HEARING_THRESHOLD,0.6108677373119705,40.0,0.6098865110278705,0.6118505422586631,0.0,-0.4928748124545606
15,5,HEARING_THRESHOLD,1.299658118718867,80.0,1.297601278129793,1.301718219626253,0.0,0.2621012442798423
3,3,HEARING_THRESHOLD,1.0,60,1.0,1.0,0.0,0.0
21,11,MEMORY_WINDOW_FOR_CONSISTENCY,1.0572625186099553,3.0,1.0555757142525868,1.0589520184716839,0.0,0.055683038028622296
22,12,MEMORY_WINDOW_FOR_CONSISTENCY,1.064262480594331,10.0,1.0625646391335903,1.0659630349870852,0.0,0.06228205278381872
8,8,MEMORY_WINDOW_FOR_CONSISTENCY,1.0,5,1.0,1.0,0.0,0.0
17,7,TEMPORAL_MASKING_FN_TYPE,0.9998547746362393,full,0.9985525935754157,1.0011586538304673,0.8270970687983127,-0.00014523590998493567
5,5,TEMPORAL_MASKING_FN_TYPE,1.0,chopped,1.0,1.0,0.0,0.0
6,6,TIME_DELAY_FOR_DIRECTION_CHANGE,1.0,12.0,1.0,1.0,0.0,0.0
18,8,TIME_DELAY_FOR_DIRECTION_CHANGE,1.265305217945556,6.0,1.263289045893291,1.2673246077489426,0.0,0.23531337208472955
19,9,TIME_DELAY_FOR_DIRECTION_CHANGE,0.9457024044696296,24.0,0.9441910371293623,0.9472161910567944,0.0,-0.0558273424349511
