,index,parameter,parameter value,ci low,ci high,pvalue,coeffs,odds ratio
24,14,bat frontal range,90.000,0.945,0.948,0,-0.055,0.946
23,13,bat frontal range,30.000,1.075,1.079,0,0.074,1.077
9,9,bat frontal range,60.000,1.000,1.000,0,0.000,1.000
20,10,bat radial resolution,4.000,0.971,0.974,0,-0.028,0.973
7,7,bat radial resolution,2.000,1.000,1.000,0,0.000,1.000
11,1,bat speed,5.000,2.298,2.304,0,0.833,2.301
10,0,bat speed,1.000,0.245,0.246,0,-1.405,0.245
0,0,bat speed,3.000,1.000,1.000,0,0.000,1.000
16,6,call directionality,10.000,1.025,1.028,0,0.026,1.027
4,4,call directionality,7.000,1.000,1.000,0,0.000,1.000
1,1,call duration,2.000,1.000,1.000,0,0.000,1.000
12,2,call duration,5.000,1.099,1.102,0,0.096,1.100
2,2,call rate fast,10.000,1.000,1.000,0,0.000,1.000
13,3,call rate fast,20.000,0.975,0.978,3.81E-279,-0.024,0.977
14,4,hearing threshold,40.000,0.610,0.612,0,-0.493,0.611
15,5,hearing threshold,80.000,1.298,1.302,0,0.262,1.300
3,3,hearing threshold,60.000,1.000,1.000,0,0.000,1.000
21,11,memory window for consistency,3.000,1.056,1.059,0,0.056,1.057
22,12,memory window for consistency,10.000,1.063,1.066,0,0.062,1.064
8,8,memory window for consistency,5.000,1.000,1.000,0,0.000,1.000
17,7,temporal masking function type,full,0.999,1.001,0.827,0.000,1.000
5,5,temporal masking function type,chopped,1.000,1.000,0,0.000,1.000
6,6,time delay for direction change,12.000,1.000,1.000,0,0.000,1.000
18,8,time delay for direction change,6.000,1.263,1.267,0,0.235,1.265
19,9,time delay for direction change,24.000,0.944,0.947,0,-0.056,0.946
