,index,parameter,IR,param_value,ci_low,ci_high,pvalue,coeffs
24,14,bat frontal range,1.055,90.000,1.045,1.065,1.89E-30,0.053
23,13,bat frontal range,0.990,30.000,0.981,1.000,0.039329358,-0.010
9,9,bat frontal range,1.000,60.000,1.000,1.000,0,0.000
20,10,bat radial resolution,1.010,4.000,1.003,1.018,0.007226126,0.010
7,7,bat radial resolution,1.000,2.000,1.000,1.000,0,0.000
11,1,bat speed,2.093,5.000,2.076,2.110,0,0.739
10,0,bat speed,0.172,1.000,0.170,0.174,0,-1.760
0,0,bat speed,1.000,3.000,1.000,1.000,0,0.000
16,6,call directionality,1.032,10.000,1.024,1.039,3.63E-16,0.031
4,4,call directionality,1.000,7.000,1.000,1.000,0,0.000
1,1,call duration,1.000,2.000,1.000,1.000,0,0.000
12,2,call duration,1.100,5.000,1.092,1.109,8.69E-139,0.096
2,2,call rate fast,1.000,10.000,1.000,1.000,0,0.000
13,3,call rate fast,0.867,20.000,0.860,0.873,8.30E-307,-0.143
14,4,hearing threshold,1.586,40.000,1.571,1.600,0,0.461
15,5,hearing threshold,1.665,80.000,1.650,1.681,0,0.510
3,3,hearing threshold,1.000,60.000,1.000,1.000,0,0.000
21,11,memory window for consistency,0.914,3.000,0.905,0.922,9.12E-82,-0.090
22,12,memory window for consistency,1.180,10.000,1.169,1.191,9.31E-279,0.165
8,8,memory window for consistency,1.000,5.000,1.000,1.000,0,0.000
17,7,temporal masking function type,1.003,full,0.996,1.011,0.378054262,0.003
5,5,temporal masking function type,1.000,chopped,1.000,1.000,0,0.000
6,6,time delay for direction change,1.000,12.000,1.000,1.000,0,0.000
18,8,time delay for direction change,1.589,6.000,1.575,1.604,0,0.463
19,9,time delay for direction change,1.001,24.000,0.991,1.010,0.86481288,0.001
