,timegap_ms,dB_leveldiff
0,0.005828283,-22.65656566
1,0.005565657,-22.13131313
2,0.00530303,-21.60606061
3,0.005040404,-21.08080808
4,0.004777778,-20.55555556
5,0.004515152,-20.03030303
6,0.004252525,-19.50505051
7,0.003989899,-18.97979798
8,0.003727273,-18.45454545
9,0.003464646,-17.92929293
10,0.00320202,-17.4040404
11,0.002939394,-16.81818182
12,0.002676768,-16.03030303
13,0.002414141,-15.24242424
14,0.002151515,-14.45454545
15,0.001888889,-13.66666667
16,0.001626263,-12.87878788
17,0.001363636,-12.09090909
18,0.00110101,-11.3030303
19,0.000838384,-10.51515152
20,0.000575758,-9.727272727
21,0.000313131,-8.939393939
22,0.0000505051,-8.151515152
23,-0.000212121,-12.56876457
24,-0.000474747,-18.22533023
25,-0.000737374,-22
26,-0.001,-22
